table,id_or_sku,model_or_name,imei,serial_number,storage,color,status,is_deleted,source,issue,cost_price,target_or_sale_price,corrected_cost_price,corrected_sale_price
phones,p1778509109374,iPhone 12 Pro,358438446964108,,128GB,Pink,sold,false,purchased,cost_price=0,0,99000,,
phones,p1778566302248,iPhone 11 Pro Max,352871112541212,,256GB,N/A,sold,false,returned,target_sale_price=0,68000,0,,
phones,p1778147178004,iPhone 12 Pro,356688119399634,,128GB,Blue,sold,false,purchased,cost_price=0,0,98000,,
phones,p1778498691833,iPhone 15,359867885017508,,128GB,Blue,sold,false,purchased,cost_price=0,0,220000,,
phones,p1778099942284,Samsung Galaxy F07,351441603910069,,64GB,Black,in-stock,true,purchased,cost_price=0,0,39000,,
phones,p1778573774180,iPhone 7,359470642658041,,N/A,N/A,in-stock,true,trade-in,target_sale_price=0,65000,0,,
phones,p1778829474098,iPhone SE (3rd Gen),351530516158722,,N/A,N/A,in-stock,true,trade-in,target_sale_price=0,30000,0,,
phones,p1778674372168,iPhone 13 Mini,351893600487931,,256GB,Pink,sold,false,purchased,cost_price=0,0,89000,,
phones,p1778741061851,iPhone 14,350032731597026,,128GB,Purple,sold,false,purchased,cost_price=0,0,125000,,
phones,p1778654919470,iPhone 15,351926538058000,,128GB,Blue,sold,false,purchased,cost_price=0,0,165000,,
phones,p1778672723151,iPhone 13 Pro,353501497436451,,256GB,Sierra Blue,sold,false,purchased,cost_price=0,0,135000,,
phones,p1778922826719,iPhone XS,357235091816018,,N/A,N/A,sold,false,trade-in,target_sale_price=0,38000,0,,
phones,p1778574439585,iPhone 14 Pro Max,353843240552188,,N/A,N/A,sold,false,trade-in,target_sale_price=0,80000,0,,
phones,p1778916294220,iPhone 11,352913114951005,,128GB,Green,sold,false,purchased,cost_price=0,0,67000,,
phones,p1778762449288,iPhone 12 Pro Max,355660527172185,,256GB,Gold,sold,false,purchased,cost_price=0,0,125000,,
phones,p1778829707461,iPhone Se 2,351540516158722,,128GB,White,sold,false,purchased,cost_price=0,0,39000,,
phones,p1778662701876,iPhone 13 Pro,352966742481928,,128GB,Gold,sold,false,purchased,cost_price=0,0,129000,,
phones,p1778755678741,iPhone 11 Pro Max,353919108713722,,256GB,Gold,sold,false,purchased,cost_price=0,0,89000,,
phones,p1778834051887,iPhone 14,359093338245949,,128GB,Starlight,sold,false,purchased,cost_price=0,0,126000,,
phones,p1778837885347,iPhone 15 Plus,357456302052264,,128GB,Black,sold,false,purchased,cost_price=0,0,165000,,
phones,p1778834293851,iPhone 14,350032732891683,,128GB,Midnight,sold,false,purchased,cost_price=0,0,126000,,
phones,p1778930795033,iPhone 14,354827380403442,,128GB,White,sold,false,purchased,cost_price=0,0,126000,,
phones,p1778756304003,iPhone 14 Pro,354256837751213,,256GB,Silver,in-stock,true,purchased,cost_price=0,0,185000,,
phones,p1778654861351,iPhone 15,355260436076294,,256GB,Black,sold,false,returned,target_sale_price=0,160000,0,,
phones,p1778911434249,iPhone 16,354614894645852,,128GB,Black,sold,false,returned,target_sale_price=0,185000,0,,
phones,p1778987171152,iPhone 7,890330234271000,,N/A,N/A,in-stock,true,trade-in,target_sale_price=0,53000,0,,
phones,p1778987280301,Google Pixel 7,353644937140422,,128GB,White,sold,false,purchased,cost_price=0,0,60000,,
phones,p1779424343077,iPhone 14 Pro,350046787827657,,128GB,Deep Purple,sold,false,purchased,cost_price=0,0,170000,,
phones,p1779181754152,iPhone 11,354000109054728,,128GB,Green,sold,false,purchased,cost_price=0,0,69000,,
phones,p1779181658542,iPhone 11,356567102784699,,128GB,Green,sold,false,purchased,cost_price=0,0,69000,,
phones,p1779181863072,iPhone 11,354000103427433,,128GB,Black,sold,false,purchased,cost_price=0,0,69000,,
phones,p1779423983224,iPhone 14 Pro,353730799723361,,128GB,Black,sold,false,purchased,cost_price=0,0,165000,,
phones,p1779425440824,iPhone 13,351835921827436,,128GB,White,sold,false,purchased,cost_price=0,0,103000,,
phones,p1779425332347,iPhone 12,357504275425700,,128GB,Blue,sold,false,purchased,cost_price=0,0,79000,,
phones,p1778931066747,iPhone 14,351952297421437,,128GB,White,sold,false,purchased,cost_price=0,0,126000,,
phones,p1779182067976,iPhone 7,359184074347443,,128GB,Black,in-stock,true,purchased,cost_price=0,0,20000,,
phones,p1778931182482,iPhone 14,357504140403098,,128GB,Purple,sold,false,purchased,cost_price=0,0,126000,,
phones,p1779424986433,iPhone 14,356852885958466,,256GB,Purple,sold,false,purchased,cost_price=0,0,130000,,
phones,p1779425207593,iPhone 14,350032739088747,,128GB,White,sold,false,purchased,cost_price=0,0,125000,,
phones,p1779439213242,iPhone 7 Plus,355835080265663,,256GB,Product(RED),in-stock,true,purchased,cost_price=0,0,29000,,
phones,p1779439602225,iPhone 7 Plus,035583508026566,,128GB,Product(RED),in-stock,false,purchased,cost_price=0,0,29000,,
phones,p1779534652506,iPhone SE (2nd Gen),356482103121596,,128GB,Black,sold,false,purchased,cost_price=0,0,44000,,
phones,p1779521780605,iPhone 12 mini,353013118129598,,128GB,Black,sold,false,purchased,cost_price=0,0,70000,,
phones,p1779425785289,iPhone 13 Pro,356885191688955,,256GB,Gold,sold,false,purchased,cost_price=0,0,133000,,
phones,p1779437657489,iPhone 16 Pro Max,353558243419157,,256GB,Desert Titanium,sold,false,purchased,cost_price=0,0,300000,,
phones,p1779546651180_0,iPhone 11,352984116048462,,N/A,N/A,sold,false,trade-in,target_sale_price=0,35000,0,,
phones,p1778400600036,iPhone 15,359867885031889,,128GB,Blue,in-stock,true,purchased,cost_price=0,0,220000,,
phones,p1779600410488,iPhone 13,354435320140494,,128GB,Midnight,sold,false,purchased,cost_price=0,0,100000,,
phones,p1779694988437,iPhone 15 Pro,354408278509192,,256GB,Blue,sold,false,purchased,cost_price=0,0,225000,,
phones,p1779946520824,iPhone 12 mini,353013111016883,,128GB,Black,sold,false,purchased,cost_price=0,0,70000,,
phones,p1779514080164,iPhone SE (2nd Gen),359794258860647,,64GB,White,sold,false,purchased,cost_price=0,0,39000,,
phones,p1779947139540,iPhone 14 Pro,350114368870270,,256GB,Gold,in-stock,true,purchased,cost_price=0,0,185000,,
phones,p1779690279166_0,iPhone 12 Pro Max,354419335986786,,128GB,Blue,in-stock,false,returned,target_sale_price=0,110000,0,,
phones,p1779875579683,iPhone 12 Pro Max,357763862676071,,256GB,Silver,in-stock,false,returned,target_sale_price=0,115000,0,,
phones,p1779887447088_0,iPhone XS,356171096354104,,64GB,Black,sold,false,trade-in,target_sale_price=0,36000,0,,
phones,p1779713661489,iPhone 12 Pro,351001685423181,,256GB,Pacific Blue,sold,false,returned,target_sale_price=0,81500,0,,
phones,p1779534793227,iPhone 13 Pro,355786370017787,,128GB,Sierra Blue,sold,false,returned,target_sale_price=0,120000,0,,
phones,p1781086409904_0,iPhone 7 Plus,355358089372471,,128GB,Black,sold,false,trade-in,target_sale_price=0,13000,0,,
phones,p1780830008895_0,iPhone 12,353051115416949,,N/A,N/A,sold,false,trade-in,target_sale_price=0,55000,0,,
phones,p1780298652984,iPhone 14,354715689193345,,256GB,Blue,sold,false,purchased,cost_price=0,0,129000,,
phones,p1780377253607_0,iPhone 8,356094091116809,,N/A,N/A,sold,false,trade-in,target_sale_price=0,19000,0,,
phones,p1781009504226,Apple Watch Se 2 | 40 MM,000000000000000,,64GB,Black,sold,false,purchased,cost_price=0,0,55000,,
phones,p1780646638328_0,iPhone 12 Pro Max,356736111829866,,N/A,N/A,in-stock,false,trade-in,target_sale_price=0,110000,0,,
phones,p1780720714250_0,iPhone XS Max,353100103751039,,N/A,N/A,in-stock,true,trade-in,target_sale_price=0,38000,0,,
phones,p1780819320107_0,iPhone 12,353048111448793,,128GB,White,in-stock,false,trade-in,target_sale_price=0,38000,0,,
phones,p1780985162679_0,iPhone 8 Plus,356736084024008,,N/A,N/A,in-stock,false,trade-in,target_sale_price=0,10000,0,,
phones,p1780731939860_0,iPhone XS,357227095686000,,N/A,N/A,sold,false,trade-in,target_sale_price=0,25000,0,,
phones,p1780386521557,iPhone 12 Pro Max,356725114460290,,256GB,Pacific Blue,sold,false,returned,target_sale_price=0,115000,0,,
phones,p1780405024404,iPhone XS,356173091032917,,256GB,Gold,sold,false,returned,target_sale_price=0,50000,0,,
phones,p1780739577636_0,iPhone 11 Pro,353836109249235,,256GB,Black,sold,false,trade-in,target_sale_price=0,68000,0,,
phones,p1780736925608,iPhone 14 Pro Max,359265381672514,,1TB,Deep Purple,sold,false,returned,target_sale_price=0,170000,0,,
phones,p1781609142786,iPhone 8,356094091229917,,64GB,Silver,in-stock,false,returned,target_sale_price=0,23000,0,,
phones,p1781594344060,APPLE WATCH SERIES 7,350031570375700,,64GB,Blue,sold,false,purchased,cost_price=0,0,55000,,
phones,p1781517949044_0,iPhone 6 Plus,352924991273983,,N/A,N/A,sold,false,trade-in,target_sale_price=0,10000,0,,
phones,p1781625554219,iPhone 13 Pro,353851666024442,,128GB,Black,sold,false,purchased,cost_price=0,0,129000,,
phones,p1781936075698_0,iPhone 12 mini,353008118028949,,N/A,N/A,sold,false,trade-in,target_sale_price=0,27000,0,,
phones,p1781759794680_0,iPhone 13 Pro,355786374648496,,128GB,Black,in-stock,false,trade-in,target_sale_price=0,70000,0,,
phones,p1781625737714,iPhone 11 Pro Max,353890108232684,,256GB,Gold,sold,false,purchased,cost_price=0,0,90000,,
phones,p1781708448695,iPhone 15,355279711966201,,128GB,Blue,sold,false,purchased,cost_price=0,0,160000,,
phones,p1781705449359_0,iPhone 11 Pro,353843101811681,,256GB,Green,sold,false,trade-in,target_sale_price=0,65000,0,,
phones,p1781792976167,iPhone 11,353993103271127,,64GB,Product(RED),sold,false,purchased,cost_price=0,0,65000,,
phones,p1781769813193_0,iPhone 12 Pro,356696726555050,,N/A,N/A,sold,false,trade-in,target_sale_price=0,83000,0,,
phones,p1782031991326_0,iPhone 14 Pro,351584132842111,,N/A,N/A,sold,false,trade-in,target_sale_price=0,165000,0,,
phones,p1782123466051_0,iPhone 13 mini,354084995604036,,N/A,N/A,in-stock,true,trade-in,target_sale_price=0,25000,0,,
phones,p1782124727919_0,iPhone 13 mini,354084996398554,,N/A,N/A,sold,false,trade-in,target_sale_price=0,71000,0,,
phones,p1782120392730_0,iPhone XS,357234092686785,,N/A,N/A,sold,false,trade-in,target_sale_price=0,42000,0,,
phones,p1782221544101,iPhone 14,359093334859313,,128GB,Purple,sold,false,purchased,cost_price=0,0,125000,,
phones,p1782199817126_0,iPhone SE (2nd Gen),351010643532058,,N/A,N/A,sold,false,trade-in,target_sale_price=0,34000,0,,
phones,p1782038980033_0,iPhone 13 Pro Max,350360637696646,,N/A,N/A,sold,false,trade-in,target_sale_price=0,80000,0,,
phones,p1782121789295_0,iPhone 7 Plus,353839080303781,,N/A,N/A,sold,false,trade-in,target_sale_price=0,18200,0,,
phones,p1782455703625_0,iPhone X,356739082261549,,N/A,N/A,sold,false,trade-in,target_sale_price=0,15000,0,,
phones,p1782474127206_0,iPhone 11,351845974429980,,N/A,N/A,in-stock,false,trade-in,target_sale_price=0,55000,0,,
phones,p1782540895249_0,iPhone 6s Plus,355627115024482,,N/A,N/A,in-stock,false,trade-in,target_sale_price=0,7500,0,,
phones,p1782550695364_0,iPhone SE (2nd Gen),356849118673821,,N/A,N/A,in-stock,false,trade-in,target_sale_price=0,20000,0,,
phones,p1782554105088_0,iPhone SE (2nd Gen),356492109285238,,N/A,N/A,in-stock,false,trade-in,target_sale_price=0,23000,0,,
phones,p1782795143397,iPhone 11,352974110053394,,128GB,Red,in-stock,false,purchased,cost_price=0,0,70000,,
phones,p1782795316156,iPhone 11,356586108094879,,128GB,Black,in-stock,false,purchased,cost_price=0,0,70000,,
phones,p1782795447190,iPhone 11,352977111445741,,128GB,Black,in-stock,false,purchased,cost_price=0,0,70000,,
phones,p1782795544577,iPhone SE (2nd Gen),356466100955635,,128GB,Black,in-stock,false,purchased,cost_price=0,0,42000,,
phones,p1782795670974,iPhone SE (2nd Gen),356835114555047,,128GB,Black,in-stock,false,purchased,cost_price=0,0,42000,,
phones,p1782795752042,iPhone SE (2nd Gen),356480102190992,,128GB,Black,in-stock,false,purchased,cost_price=0,0,42000,,
phones,p1782795811652,iPhone SE (2nd Gen),356850117304525,,128GB,Black,in-stock,false,purchased,cost_price=0,0,42000,,
phones,p1782797061603,iPhone 13,352279172800165,,128GB,White,in-stock,false,purchased,cost_price=0,0,99000,,
phones,p1782797134207,iPhone 13,356012713580772,,128GB,White,in-stock,false,purchased,cost_price=0,0,99000,,
phones,p1782797466742,iPhone 13,358824687934159,,128GB,White,in-stock,false,purchased,cost_price=0,0,99000,,
phones,p1782797829688,iPhone 13,355449238036552,,128GB,Black,in-stock,false,purchased,cost_price=0,0,99000,,
phones,p1782798477041,iPhone 12,354834148417177,,128GB,White,sold,false,purchased,cost_price=0,0,80000,,
phones,p1782824451983_0,iPhone SE (2nd Gen),356852113490910,,N/A,N/A,in-stock,false,trade-in,target_sale_price=0,25000,0,,
phones,p1782884444421,iPhone 12 Pro,356687118565765,,128GB,Pacific Blue,in-stock,false,purchased,cost_price=0,0,97000,,
phones,p1782885056221,iPhone 14,354870281710069,,128GB,Black,in-stock,false,purchased,cost_price=0,0,125000,,
phones,p1782885245519,iPhone 12,350400610017525,,128GB,Red,in-stock,false,purchased,cost_price=0,0,80000,,
phones,p1782885411443,iPhone 15 Pro,354133896200897,,128GB,Natural Titanium,in-stock,false,purchased,cost_price=0,0,200000,,
phones,p1782886019964,iPhone 13 Pro,353742332113042,,128GB,Gold,in-stock,false,purchased,cost_price=0,0,127000,,
phones,p1782891145139_0,iPhone 6,358277090242845,,N/A,N/A,in-stock,false,trade-in,target_sale_price=0,13000,0,,
accessories,POUCH12C,Redmi 12C Pouch,,,,,,false,,cost_price=0,0,800,,
accessories,POUCHA15,SAM A15 Pouch,,,,,,false,,cost_price=0,0,800,,
accessories,POUCHM34,SAM M34 Pouch,,,,,,false,,cost_price=0,0,800,,
accessories,POUCHA54,SAM A54 Pouch,,,,,,false,,cost_price=0,0,800,,
accessories,POUCHA14,SAM A14 Pouch,,,,,,false,,cost_price=0,0,800,,
accessories,SAN16,16 GB SanDisk USB,,,,,,false,,cost_price=0,0,2400,,
accessories,SAN8,8 GB SanDisk USB,,,,,,false,,cost_price=0,0,1900,,
accessories,KING8,8 GB Kingston USB,,,,,,false,,cost_price=0,0,1300,,
accessories,KING32,32 GB Kingston USB,,,,,,false,,cost_price=0,0,2900,,
accessories,KING128,128 GB Kingston USB,,,,,,false,,cost_price=0,0,3700,,
accessories,KINGSD4,4 GB Kingston SD card,,,,,,false,,cost_price=0,0,850,,
accessories,KINGSD16,16 GB Kingston SD card,,,,,,false,,cost_price=0,0,1800,,
accessories,KINGSD32,32 GB Kingston SD card,,,,,,false,,cost_price=0,0,2500,,
accessories,SAMB,Samsung Battery,,,,,,false,,cost_price=0,0,800,,
accessories,MTC12P,iPhone 12 Pro Matte Magnetic Magsafe Back Cover,,,,,,true,,cost_price=0,0,1500,,
accessories,MTC12,iPhone 12 Matte Magnetic Magsafe Back Cover,,,,,,true,,cost_price=0,0,1500,,
accessories,G4,Celebrat G4 Hands Free,,,,,,false,,cost_price=0,0,690,,
accessories,HW8,HW8 Ultra Smart Watch,,,,,,false,,cost_price=0,0,6500,,
accessories,HW9,W9 Ultra Smart Watch,,,,,,false,,cost_price=0,0,3000,,
accessories,LTCL,iPhone 14 LITO Camera Lens,,,,,,true,,cost_price=0,0,1500,,
accessories,LHF,Earpods Lightning Connector,,,,,,false,,cost_price=0,0,4990,,
accessories,CHF,Earpods Type C Connector,,,,,,false,,cost_price=0,0,4990,,
accessories,JBLT,JBL Tune 110,,,,,,false,,cost_price=0,0,4500,,
accessories,JBLGO3,JBL GO 3,,,,,,false,,cost_price=0,0,12500,,
accessories,MTBCL15,iPhone 15 Pro Max MTB Camera Lens,,,,,,true,,cost_price=0,0,800,,
accessories,YDX,Yoodex USB to Type C Cable,,,,,,false,,cost_price=0,0,790,,
accessories,AG13,iPhone 13/14 AG Glass Back Cover,,,,,,false,,cost_price=0,0,1900,,
accessories,AG12,iPhone 12 AG Glass Back Cover,,,,,,false,,cost_price=0,0,1900,,
accessories,AG11,iPhone 11 AG Glass Back Cover,,,,,,false,,cost_price=0,0,1900,,
accessories,AG12P,iPhone 12 Pro AG Glass Back Cover,,,,,,false,,cost_price=0,0,1900,,
accessories,AG13P,iPhone 13 Pro AG Glass Back Cover,,,,,,false,,cost_price=0,0,1900,,
accessories,ASC14,iPhone 13/14 Anti Shock Case,,,,,,false,,cost_price=0,0,1500,,
accessories,ASC15PM,iPhone 15 Pro Max Anti Shock Case,,,,,,false,,cost_price=0,0,1500,,
accessories,ASC13PM,iPhone 13 Pro Max Anti Shock Case,,,,,,false,,cost_price=0,0,1500,,
accessories,ASC15P,iPhone 15 Pro Anti Shock Case,,,,,,false,,cost_price=0,0,1500,,
accessories,I12,I12 Airpod,,,,,,false,,cost_price=0,0,1500,,
accessories,USBHUB,3.0 USB HUB,,,,,,false,,cost_price=0,0,3000,,
accessories,CH4,Charge 4 Speaker,,,,,,false,,cost_price=0,0,3950,,
accessories,BTS,Bluetooth Speaker,,,,,,false,,cost_price=0,0,2500,,
accessories,TWSMOUSE,TWS Gaming Mouse,,,,,,false,,cost_price=0,0,2000,,
accessories,WBP,Wireless Magsafe Battery Pack,,,,,,false,,cost_price=0,0,6000,,
accessories,ABDS,Abados Data Cable,,,,,,false,,cost_price=0,0,990,,
accessories,WMS,Logitech Wireless Mouse,,,,,,false,,cost_price=0,0,1150,,
accessories,ACC,Anker C to C Cable,,,,,,false,,cost_price=0,0,3000,,
accessories,CPB,CHA Power Bank,,,,,,false,,cost_price=0,0,5000,,
accessories,UGT800,Ultra GT 800 Smart Watch,,,,,,false,,cost_price=0,0,4500,,
accessories,UAGAIRPOD,UAG AIRPOD COVER,,,,,,false,,cost_price=0,0,990,,
accessories,PRO5,AirPods Pro 5,,,,,,false,,cost_price=0,0,2500,,
accessories,HW9PW,HW9 Pro Watch,,,,,,false,,cost_price=0,0,6500,,
accessories,DC07YV,VDENMENV 18W Micro Fast Charger,,,,,,false,,cost_price=0,0,1690,,
accessories,DZ10,VDENMENV DZ10 Car Charger,,,,,,false,,cost_price=0,0,1900,,
accessories,DC01YT,VDENMENV Type C Charger,,,,,,false,,cost_price=0,0,1100,,
accessories,DC07YT,VDENMENV 18W Type C Fast Charger,,,,,,false,,cost_price=0,0,1690,,
accessories,BTRY7P,iPhone 7 Plus A+ Battery,,,,,,false,,cost_price=0,0,4500,,
accessories,BTRY8P,iPhone 8 Plus  A+ Battery,,,,,,false,,cost_price=0,0,5000,,
accessories,BTRYXR,iPhone XR A+ Battery,,,,,,false,,cost_price=0,0,6000,,
accessories,BTRYXSM,iPhone Xs Max A+ Battery,,,,,,false,,cost_price=0,0,6500,,
accessories,BTRY13,iPhone 13 A+ Battery,,,,,,false,,cost_price=0,0,10000,,
accessories,BTRY12PM,iPhone 12 Pro Max A+ Battery,,,,,,false,,cost_price=0,0,12000,,
accessories,OG12WDOC,Apple Original iPad 12W Doc,,,,,,false,,cost_price=0,0,5500,,
accessories,OGU2L,Apple Original USB to Lightning Cable,,,,,,false,,cost_price=0,0,3500,,
accessories,OG35WDOC,Apple Original 35W Doc,,,,,,false,,cost_price=0,0,7500,,
accessories,CELL11,iPhone 11 Battery Cell,,,,,,false,,cost_price=0,0,7500,,
accessories,BTRY11PM,iPhone 11 Pro Max A+ Battery,,,,,,false,,cost_price=0,0,9000,,
accessories,BTRY8,iPhone 8 A+ Battery,,,,,,false,,cost_price=0,0,4000,,
accessories,BTRY7,iPhone 7 A+ Battery,,,,,,false,,cost_price=0,0,4000,,
accessories,BTRY12P,iPhone 12 Pro A+ Battery,,,,,,false,,cost_price=0,0,10000,,
accessories,BTRYXS,iPhone Xs A+ Battery,,,,,,false,,cost_price=0,0,6500,,
accessories,BTRY11P,iPhone 11 Pro A+ Battery,,,,,,false,,cost_price=0,0,8500,,
accessories,BTRY 14,IPHONE 14 A+ BATTERY,,,,,,false,,cost_price=0,0,10000,,
accessories,BTRY 14P,IPHONE 14 PRO A+ BATTERY,,,,,,false,,cost_price=0,0,10000,,
accessories,ASC14P,iPhone 14+ Anti Shock Case,,,,,,false,,cost_price=0,0,1500,,
